"id_discussion","title","link","score","answer_count","view_count","creation_date","tags"
57498125,"Camunda Modeler no advance mode button","https://stackoverflow.com/questions/57498125/camunda-modeler-no-advance-mode-button",0,1,189,"2019-08-14","camunda, camunda-modeler"
76455535,"How to save in a database more than one product in a simulation of a online shopping process in Camunda?","https://stackoverflow.com/questions/76455535/how-to-save-in-a-database-more-than-one-product-in-a-simulation-of-a-online-shop",0,1,19,"2023-06-12","process, camunda, bpmn, camunda-modeler"
76355660,"How to integrate Angular 9 with a camunda modeler?","https://stackoverflow.com/questions/76355660/how-to-integrate-angular-9-with-a-camunda-modeler",0,1,24,"2023-05-29","camunda-modeler, bpmn.io, bpmn-js"
76355174,"Camunda 7: Database query to extract FNI usage by process","https://stackoverflow.com/questions/76355174/camunda-7-database-query-to-extract-fni-usage-by-process",0,1,27,"2023-05-29","camunda"
76192494,"How to create services objects from Camunda process Engine?","https://stackoverflow.com/questions/76192494/how-to-create-services-objects-from-camunda-process-engine",0,1,39,"2023-05-07","spring-boot, camunda, bpmn, business-process-management, camunda-modeler"
76319643,"Camunda JUnit not working with Delegate class referenced as Delegate Expression","https://stackoverflow.com/questions/76319643/camunda-junit-not-working-with-delegate-class-referenced-as-delegate-expression",0,1,25,"2023-05-23","camunda"
76301319,"Difference between deployment through REST and Deployment through Process Application in Camunda","https://stackoverflow.com/questions/76301319/difference-between-deployment-through-rest-and-deployment-through-process-applic",1,1,61,"2023-05-21","camunda"
76203215,"Custom REST Endpoint in Camunda","https://stackoverflow.com/questions/76203215/custom-rest-endpoint-in-camunda",0,1,158,"2023-05-08","spring-boot, rest, camunda"
76242069,"Camunda external task client polling intervals","https://stackoverflow.com/questions/76242069/camunda-external-task-client-polling-intervals",0,1,110,"2023-05-13","spring-boot, camunda"
76161981,"find failed tasks and failed processes in camunda","https://stackoverflow.com/questions/76161981/find-failed-tasks-and-failed-processes-in-camunda",0,1,88,"2023-05-03","spring-boot, camunda, bpmn, business-process-management, camunda-modeler"
76135145,"Check membership user in group or tenant in camunda with Java API","https://stackoverflow.com/questions/76135145/check-membership-user-in-group-or-tenant-in-camunda-with-java-api",1,1,50,"2023-04-29","spring-boot, camunda, bpmn, business-process-management"
76109824,"Camunda REST Api usage for starting async BPMN Processe","https://stackoverflow.com/questions/76109824/camunda-rest-api-usage-for-starting-async-bpmn-processe",0,1,45,"2023-04-26","wildfly, camunda, camunda-plugin, camunda-spin"
75753270,"What will be the url for webhook in camunda self managed for local environment?","https://stackoverflow.com/questions/75753270/what-will-be-the-url-for-webhook-in-camunda-self-managed-for-local-environment",1,1,64,"2023-03-16","camunda, camunda-modeler"
76146150,"Fetch TaskID or InstanceID of a running instance in Camunda 8.2","https://stackoverflow.com/questions/76146150/fetch-taskid-or-instanceid-of-a-running-instance-in-camunda-8-2",0,1,22,"2023-05-01","camunda"
76084332,"Connect Camunda 8 with Spring boot java @ZeebeWorker does not respond","https://stackoverflow.com/questions/76084332/connect-camunda-8-with-spring-boot-java-zeebeworker-does-not-respond",1,0,84,"2023-04-23","java, spring-boot, camunda, camunda-modeler"
76109610,"How to get tasks from process instance id using camundatasklistclient api in java camunda 8","https://stackoverflow.com/questions/76109610/how-to-get-tasks-from-process-instance-id-using-camundatasklistclient-api-in-jav",0,1,176,"2023-04-26","java, spring-boot, github, camunda, tasklist"
56288222,"Spring boot camunda unit tests - async before/after","https://stackoverflow.com/questions/56288222/spring-boot-camunda-unit-tests-async-before-after",2,2,1962,"2019-05-24","spring, spring-boot, bpmn, camunda"
75328192,"Camunda returns error HTCL-02007 when calling API on localhost","https://stackoverflow.com/questions/75328192/camunda-returns-error-htcl-02007-when-calling-api-on-localhost",0,2,246,"2023-02-02","c#, .net, api, camunda, camunda-modeler"
76098142,"How to return intermediate response from a process or sub-process in spring boot controller when using Camunda 8","https://stackoverflow.com/questions/76098142/how-to-return-intermediate-response-from-a-process-or-sub-process-in-spring-boot",0,0,21,"2023-04-25","camunda"
76032869,"how to check user exist in camunda java api?","https://stackoverflow.com/questions/76032869/how-to-check-user-exist-in-camunda-java-api",0,1,41,"2023-04-17","spring-boot, camunda, bpmn, business-process-management, camunda-modeler"
75235804,"Error start process instance of Camunda: ENGINE-09008 Exception while instantiating class","https://stackoverflow.com/questions/75235804/error-start-process-instance-of-camunda-engine-09008-exception-while-instantiat",0,2,505,"2023-01-25","spring-boot, camunda, camunda-modeler"
75945642,"ExceptionMapper in embedded Camunda 7 : io.file.FileNotFoundException","https://stackoverflow.com/questions/75945642/exceptionmapper-in-embedded-camunda-7-io-file-filenotfoundexception",0,1,35,"2023-04-05","spring-boot, jersey, camunda"
74889372,"camunda workflow engine cpu &amp; ram specifications","https://stackoverflow.com/questions/74889372/camunda-workflow-engine-cpu-ram-specifications",0,1,35,"2022-12-22","spring-boot, camunda"
75937217,"Camunda clean up for completed process instance and variables","https://stackoverflow.com/questions/75937217/camunda-clean-up-for-completed-process-instance-and-variables",0,0,49,"2023-04-05","spring-boot, camunda"
75928520,"Generate diagram for bpmns programmed with camunda-java-api","https://stackoverflow.com/questions/75928520/generate-diagram-for-bpmns-programmed-with-camunda-java-api",0,0,30,"2023-04-04","diagram, camunda, bpmn"
40989183,"Camunda spring boot starter : create database in schema not working","https://stackoverflow.com/questions/40989183/camunda-spring-boot-starter-create-database-in-schema-not-working",4,4,10402,"2016-12-06","business-process-management, camunda"
75831900,"camunda - how to get task name using Zeebe API","https://stackoverflow.com/questions/75831900/camunda-how-to-get-task-name-using-zeebe-api",0,0,62,"2023-03-24","java, spring-boot, camunda, zeebe"
39640993,"Camunda : get active tasks","https://stackoverflow.com/questions/39640993/camunda-get-active-tasks",2,2,10131,"2016-09-22","java, bpmn, business-process-management, camunda"
75801860,"Camunda rest engine URL in Springboot starter","https://stackoverflow.com/questions/75801860/camunda-rest-engine-url-in-springboot-starter",0,1,63,"2023-03-21","spring-boot, camunda"
75762027,"Can&#39;t set Admin Username &amp; Password for Camunda 7 Helm Chart","https://stackoverflow.com/questions/75762027/cant-set-admin-username-password-for-camunda-7-helm-chart",0,0,45,"2023-03-16","yaml, camunda"
75627492,"Camunda parallel gateway does not wait for all sequence flows","https://stackoverflow.com/questions/75627492/camunda-parallel-gateway-does-not-wait-for-all-sequence-flows",2,1,333,"2023-03-03","asynchronous, camunda, bpmn, camunda-modeler"
75683422,"Problems with authorization Camunda","https://stackoverflow.com/questions/75683422/problems-with-authorization-camunda",0,1,107,"2023-03-09","javascript, java, node.js, camunda, camunda-modeler"
75626670,"Importing a file and reading on camunda BPMN","https://stackoverflow.com/questions/75626670/importing-a-file-and-reading-on-camunda-bpmn",0,0,43,"2023-03-03","camunda, camunda-modeler"
75603558,"Camunda Collaboration task","https://stackoverflow.com/questions/75603558/camunda-collaboration-task",0,0,23,"2023-03-01","camunda, bpmn, camunda-modeler"
75591051,"Camunda - Spring Transaction and Spring Event Bus Integration","https://stackoverflow.com/questions/75591051/camunda-spring-transaction-and-spring-event-bus-integration",0,1,80,"2023-02-28","spring, spring-boot, camunda, camunda-plugin"
75586877,"How to configure camunda-platform (self managed) to use an external Keycloak 20.0.3 instance?","https://stackoverflow.com/questions/75586877/how-to-configure-camunda-platform-self-managed-to-use-an-external-keycloak-20",0,0,293,"2023-02-27","keycloak, camunda"
75518235,"Spring boot log configuration with camunda bpmn","https://stackoverflow.com/questions/75518235/spring-boot-log-configuration-with-camunda-bpmn",0,2,235,"2023-02-21","spring-boot, logging, log4j2"
75514045,"Can the automatic db schema update process inside camunda spring boot starter still be used if updating a schema with liquibase is required?","https://stackoverflow.com/questions/75514045/can-the-automatic-db-schema-update-process-inside-camunda-spring-boot-starter-st",0,1,115,"2023-02-20","spring, spring-boot, database-schema, camunda"
75511786,"The jdbc driver in use does not return the number of affected rows when executing statement batches while using Camunda in spring boot application","https://stackoverflow.com/questions/75511786/the-jdbc-driver-in-use-does-not-return-the-number-of-affected-rows-when-executin",0,0,62,"2023-02-20","spring, spring-boot, spring-jdbc, camunda"
75473023,"Camunda BPM - migration from 7.14.0 to 7.18.0","https://stackoverflow.com/questions/75473023/camunda-bpm-migration-from-7-14-0-to-7-18-0",0,1,115,"2023-02-16","java, spring, spring-boot, camunda, bpmn"
75488346,"Use of Or/And combination conditions in the task query in Camunda 7","https://stackoverflow.com/questions/75488346/use-of-or-and-combination-conditions-in-the-task-query-in-camunda-7",1,0,21,"2023-02-17","camunda"
75450202,"Camunda BPM - Spring compatibility","https://stackoverflow.com/questions/75450202/camunda-bpm-spring-compatibility",0,1,237,"2023-02-14","java, spring-boot, camunda, bpmn, camunda-plugin"
75437940,"How can I access camunda modeler in a docker container?","https://stackoverflow.com/questions/75437940/how-can-i-access-camunda-modeler-in-a-docker-container",0,1,164,"2023-02-13","dockerfile, camunda-modeler"
75411666,"Data synchronization 1C integration with Camunda","https://stackoverflow.com/questions/75411666/data-synchronization-1c-integration-with-camunda",0,0,29,"2023-02-10","javascript, node.js, reactjs, camunda, 1c"
75375297,"Camunda 7 Community Edition volume limitations","https://stackoverflow.com/questions/75375297/camunda-7-community-edition-volume-limitations",0,2,165,"2023-02-07","camunda, camunda-modeler"
56382788,"How to update Camunda DMN table at runtime?","https://stackoverflow.com/questions/56382788/how-to-update-camunda-dmn-table-at-runtime",1,1,1138,"2019-05-30","camunda"
75340973,"camunda External task js problem to pool https urls","https://stackoverflow.com/questions/75340973/camunda-external-task-js-problem-to-pool-https-urls",0,0,35,"2023-02-03","camunda, bpmn"
