"id_discussion","title","link","score","answer_count","view_count","creation_date","tags"
49628528,"Alfresco Activiti or Camunda or jBPM - Associating a task to an external URL","https://stackoverflow.com/questions/49628528/alfresco-activiti-or-camunda-or-jbpm-associating-a-task-to-an-external-url",0,2,4203,"2018-04-03","activiti, business-process-management, camunda"
50748941,"Where Kcontext variables are saved? JBPM","https://stackoverflow.com/questions/50748941/where-kcontext-variables-are-saved-jbpm",0,0,239,"2018-06-07","java, jbpm, bpmn"
46333629,"JBPM quick 10 minute setup issues","https://stackoverflow.com/questions/46333629/jbpm-quick-10-minute-setup-issues",1,0,28,"2017-09-20","jbpm"
43539212,"JBPM with IOT Application","https://stackoverflow.com/questions/43539212/jbpm-with-iot-application",1,0,114,"2017-04-21","jboss, drools, iot, jbpm, bpmn"
76442803,"jBPM Business Central - Error calling container CheckPeriod_1.0.0-SNAPSHOT: Error unmarshalling input","https://stackoverflow.com/questions/76442803/jbpm-business-central-error-calling-container-checkperiod-1-0-0-snapshot-erro",0,0,10,"2023-06-09","jbpm, rule-engine, kie, dmn, businesscentral"
27486397,"BPMN Engine for NodeJS similar to Activiti or jBPM","https://stackoverflow.com/questions/27486397/bpmn-engine-for-nodejs-similar-to-activiti-or-jbpm",18,2,33834,"2014-12-15","javascript, node.js, sails.js, activiti, bpmn"
76428986,"how to install jbpm without internet","https://stackoverflow.com/questions/76428986/how-to-install-jbpm-without-internet",0,0,13,"2023-06-08","jbpm"
76422829,"Spring boot 3.0 / Tomcat 10 support for JBPM","https://stackoverflow.com/questions/76422829/spring-boot-3-0-tomcat-10-support-for-jbpm",0,0,38,"2023-06-07","spring, spring-boot, jbpm, kogito"
76355983,"JBPM task assigned only","https://stackoverflow.com/questions/76355983/jbpm-task-assigned-only",0,0,9,"2023-05-29","jbpm"
74896280,"Authenticate JBPM using AWS Cognito","https://stackoverflow.com/questions/74896280/authenticate-jbpm-using-aws-cognito",0,1,54,"2022-12-23","authentication, amazon-cognito, keycloak, drools, jbpm"
76334503,"Dockerized jBPM with DB2 Fails Upon Docker Restart","https://stackoverflow.com/questions/76334503/dockerized-jbpm-with-db2-fails-upon-docker-restart",1,1,46,"2023-05-25","docker-compose, jboss, wildfly, jbpm, db2-luw"
76320573,"Custom tasks failing to appear in Custom Tasks Administration in JBPM 7.47.0 despite successful upload: any fixes?","https://stackoverflow.com/questions/76320573/custom-tasks-failing-to-appear-in-custom-tasks-administration-in-jbpm-7-47-0-des",0,0,12,"2023-05-24","jbpm"
76317778,"Is it possible to integrate Drools 8 with jBPM 7.73.0.Final?","https://stackoverflow.com/questions/76317778/is-it-possible-to-integrate-drools-8-with-jbpm-7-73-0-final",1,0,50,"2023-05-23","drools, jbpm, kogito"
76263984,"JBPM Server Startup Issue after Java 11 update","https://stackoverflow.com/questions/76263984/jbpm-server-startup-issue-after-java-11-update",0,0,43,"2023-05-16","jboss, jbpm"
64766625,"Explicitly joining a JTA transaction requires a JTA transaction issue with jBPM 7 and Spring Boot","https://stackoverflow.com/questions/64766625/explicitly-joining-a-jta-transaction-requires-a-jta-transaction-issue-with-jbpm",0,0,695,"2020-11-10","spring-boot, jbpm, kie-server, narayana"
76222413,"How to bypass Human task in JBPM to complete the process","https://stackoverflow.com/questions/76222413/how-to-bypass-human-task-in-jbpm-to-complete-the-process",0,0,43,"2023-05-10","java, jbpm, bpmn"
76182925,"How to add custom document marshalling strategy to jbpm?","https://stackoverflow.com/questions/76182925/how-to-add-custom-document-marshalling-strategy-to-jbpm",1,0,32,"2023-05-05","customization, marshalling, jbpm, business-process-management"
76136433,"why does JBPM shows an error when starting a user task?","https://stackoverflow.com/questions/76136433/why-does-jbpm-shows-an-error-when-starting-a-user-task",0,0,32,"2023-04-29","jboss, jbpm, business-process-management"
76054203,"Claiming or Completing Task, with a group assigned, in JBPM by a user","https://stackoverflow.com/questions/76054203/claiming-or-completing-task-with-a-group-assigned-in-jbpm-by-a-user",0,0,26,"2023-04-19","jbpm, kie"
70170722,"Drools - Send input data to business process (JBPM) via REST","https://stackoverflow.com/questions/70170722/drools-send-input-data-to-business-process-jbpm-via-rest",0,0,378,"2021-11-30","jboss, drools, jbpm, drools-guvnor, drools-flow"
75879995,"Spring Boot Integration with JBPM 7.* with dynamic users for Human tasks","https://stackoverflow.com/questions/75879995/spring-boot-integration-with-jbpm-7-with-dynamic-users-for-human-tasks",0,0,48,"2023-03-29","spring-boot, jbpm"
75685445,"JBPM 7.31 rework completed task","https://stackoverflow.com/questions/75685445/jbpm-7-31-rework-completed-task",0,0,16,"2023-03-09","task, jbpm"
75594162,"jBPM data assignment is unclear","https://stackoverflow.com/questions/75594162/jbpm-data-assignment-is-unclear",0,0,24,"2023-02-28","java, jbpm, business-process-management, script-task, data-objects"
75284412,"JBPM 7.73 Docker image, Custom Task fails with Dependency artifact not found for uploaded jar","https://stackoverflow.com/questions/75284412/jbpm-7-73-docker-image-custom-task-fails-with-dependency-artifact-not-found-for",0,1,79,"2023-01-30","jbpm, kie, drools-kie-server, kie-server"
75193736,"drools workbench with jbpm-server-7.73.0.Final-dist file from jbpmn.org site","https://stackoverflow.com/questions/75193736/drools-workbench-with-jbpm-server-7-73-0-final-dist-file-from-jbpmn-org-site",2,2,322,"2023-01-21","wildfly, drools, jbpm, workbench, kie"
62540912,"JBPM - WorkItemNode cannot be cast to org.jbpm.workflow.core.node.HumanTaskNode","https://stackoverflow.com/questions/62540912/jbpm-workitemnode-cannot-be-cast-to-org-jbpm-workflow-core-node-humantasknode",3,1,918,"2020-06-23","java, jbpm"
