"id_discussion","title","link","score","answer_count","view_count","creation_date","tags"
76352711,"How can I delete all attributes owned by a classifier in modelio?","https://stackoverflow.com/questions/76352711/how-can-i-delete-all-attributes-owned-by-a-classifier-in-modelio",0,0,8,"2023-05-28","modelio"
64037121,"How to programmatically export 3D mesh as USDZ using ModelIO?","https://stackoverflow.com/questions/64037121/how-to-programmatically-export-3d-mesh-as-usdz-using-modelio",0,2,1229,"2020-09-23","swift, augmented-reality, scenekit, realitykit, usdz"
67889960,"Measuring the distance between two points on a 3D-Obj file in SceneKit/modelIO and displaying them","https://stackoverflow.com/questions/67889960/measuring-the-distance-between-two-points-on-a-3d-obj-file-in-scenekit-modelio-a",0,1,367,"2021-06-08","ios, swift, 3d, scenekit, apple-model-io"
65544036,"ModelIO: change material of MDLAsset / MDLMesh / MDLSubmesh","https://stackoverflow.com/questions/65544036/modelio-change-material-of-mdlasset-mdlmesh-mdlsubmesh",2,0,696,"2021-01-02","ios, swift, arkit, realitykit, apple-model-io"
64076779,"Modelio 4.0 Installation on Mac OS","https://stackoverflow.com/questions/64076779/modelio-4-0-installation-on-mac-os",0,1,582,"2020-09-26","macos, uml, diagram, class-diagram, modelio"
59539225,"Is ModelIO/MDLAsset myopic?","https://stackoverflow.com/questions/59539225/is-modelio-mdlasset-myopic",0,1,60,"2019-12-30","swift, metalkit, modelio"
57874687,"Can&#39;t load texture of USDZ file via script using ModelIO library on Xcode with swift","https://stackoverflow.com/questions/57874687/cant-load-texture-of-usdz-file-via-script-using-modelio-library-on-xcode-with-s",0,1,631,"2019-09-10","swift, xcode, usdz, modelio"
56313238,"Modelio class diagram compartments","https://stackoverflow.com/questions/56313238/modelio-class-diagram-compartments",1,1,384,"2019-05-26","java, uml, class-diagram, modelio"
51495020,"How do I add Lists in Modelio class diagram?","https://stackoverflow.com/questions/51495020/how-do-i-add-lists-in-modelio-class-diagram",1,1,3045,"2018-07-24","oop, uml, project, modelio"
50634145,"jHipster UML, Invalid Type Exception with Modelio","https://stackoverflow.com/questions/50634145/jhipster-uml-invalid-type-exception-with-modelio",0,1,96,"2018-05-31","uml, jhipster, modelio"
49207703,"Export StarUML Project to Modelio","https://stackoverflow.com/questions/49207703/export-staruml-project-to-modelio",1,0,301,"2018-03-10","export, uml, project, staruml, modelio"
