id_discussion,title,link,score,answer_count,view_count,creation_date,tags
43799530,Can Bonitasoft (BPM) be used to build an ERP system?,https://stackoverflow.com/questions/43799530/can-bonitasoft-bpm-be-used-to-build-an-erp-system,1,1,508,2017-05-05 02:58:25,"bonita, business-process-management"
29917607,Customizing an Editable Grid widget: changing the behavior of a section of an editable grid from BonitaSOFT,https://stackoverflow.com/questions/29917607/customizing-an-editable-grid-widget-changing-the-behavior-of-a-section-of-an-ed,0,1,400,2015-04-28 06:01:57,"service, soa, bpmn, bonita"
59853660,Bonitasoft - printable form,https://stackoverflow.com/questions/59853660/bonitasoft-printable-form,0,1,116,2020-01-22 01:16:38,bonita
21458267,BPM BonitaSoft Community Edition 6.2.1 with SQL Server 2005 - Installation Issues,https://stackoverflow.com/questions/21458267/bpm-bonitasoft-community-edition-6-2-1-with-sql-server-2005-installation-issue,1,1,509,2014-01-30 08:46:49,"sql, sql-server, business-process-management"
56130220,How do i create page.properties file for Bonitasoft,https://stackoverflow.com/questions/56130220/how-do-i-create-page-properties-file-for-bonitasoft,0,1,90,2019-05-14 07:14:26,"windows, bonita"
55831218,"Using Input widgets For calculations , Bonitasoft",https://stackoverflow.com/questions/55831218/using-input-widgets-for-calculations-bonitasoft,0,1,232,2019-04-24 08:27:43,"widget, bonita"
55207035,How do i make a &quot;back button&quot; for bonitasoft 5.10,https://stackoverflow.com/questions/55207035/how-do-i-make-a-back-button-for-bonitasoft-5-10,0,1,52,2019-03-17 07:27:32,"forms, button, back, bonita"
43075633,How to change the User Portal language in Bonitasoft 7x?,https://stackoverflow.com/questions/43075633/how-to-change-the-user-portal-language-in-bonitasoft-7x,0,1,242,2017-03-28 12:01:18,bonita
49627782,Create Connetor CMIS BonitaSoft,https://stackoverflow.com/questions/49627782/create-connetor-cmis-bonitasoft,0,1,169,2018-04-03 05:28:30,"alfresco, connector, bonita"
54406353,How to restart the process if the result of the web service is false [BonitaSoft],https://stackoverflow.com/questions/54406353/how-to-restart-the-process-if-the-result-of-the-web-service-is-false-bonitasoft,0,1,181,2019-01-28 11:29:51,"business-process-management, bonita"
54394472,How to resolve : javax.xml.transform.sax.SAXSource cannot be cast to java.io.Serializable [BonitaSoft],https://stackoverflow.com/questions/54394472/how-to-resolve-javax-xml-transform-sax-saxsource-cannot-be-cast-to-java-io-ser,2,1,538,2019-01-27 20:24:52,"java, xml, web-services, dom, bonita"
47887023,How to Integrate a process (bonitasoft)into an application spring boot by webservice?,https://stackoverflow.com/questions/47887023/how-to-integrate-a-process-bonitasoftinto-an-application-spring-boot-by-webser,1,1,446,2017-12-19 07:26:19,"spring, web-services, spring-boot, microservices, bonita"
48545968,How to catch a signal multiple times in BonitaSoft?,https://stackoverflow.com/questions/48545968/how-to-catch-a-signal-multiple-times-in-bonitasoft,0,1,162,2018-01-31 10:40:45,"business-process-management, bonita"
49172999,List Alfresco folders and documents in BonitaSoft,https://stackoverflow.com/questions/49172999/list-alfresco-folders-and-documents-in-bonitasoft,0,1,255,2018-03-08 07:21:47,"alfresco, bonita"
47783820,Bonitasoft Bonita Newbie: Showing and editing data entered by user before,https://stackoverflow.com/questions/47783820/bonitasoft-bonita-newbie-showing-and-editing-data-entered-by-user-before,0,0,439,2017-12-12 19:36:57,bonita
47061200,Bonitasoft external forms,https://stackoverflow.com/questions/47061200/bonitasoft-external-forms,0,1,470,2017-11-01 13:13:38,"url, external, bonita"
41881920,Connect external bank to UI Designer in Bonitasoft Community,https://stackoverflow.com/questions/41881920/connect-external-bank-to-ui-designer-in-bonitasoft-community,0,1,1371,2017-01-26 15:00:00,"postgresql, business-process-management, bonita"
39915594,Bonita Liferay integration no such bonitasoft session impl api sessionimpl,https://stackoverflow.com/questions/39915594/bonita-liferay-integration-no-such-bonitasoft-session-impl-api-sessionimpl,0,1,64,2016-10-07 05:58:23,"liferay, bonita"
36797518,Bonitasoft can&#39;t login as administrator,https://stackoverflow.com/questions/36797518/bonitasoft-cant-login-as-administrator,0,2,2055,2016-04-22 10:13:43,bonita
29943695,generate a PDF from a form bonitasoft,https://stackoverflow.com/questions/29943695/generate-a-pdf-from-a-form-bonitasoft,0,1,977,2015-04-29 07:25:21,"forms, pdf-generation, screenshot, export-to-pdf, bonita"
33390159,Import bpmn file in bonitasoft,https://stackoverflow.com/questions/33390159/import-bpmn-file-in-bonitasoft,0,1,522,2015-10-28 06:44:11,bonita
31084125,Migration scripts exits without any message while upgrading Bonitasoft from 6.3.8 - 6.5.3,https://stackoverflow.com/questions/31084125/migration-scripts-exits-without-any-message-while-upgrading-bonitasoft-from-6-3,0,1,140,2015-06-26 20:04:52,"business-process-management, bonita, bpmn.io"
29600559,Default System Table in BonitaSoft BPMN,https://stackoverflow.com/questions/29600559/default-system-table-in-bonitasoft-bpmn,1,3,759,2015-04-13 03:03:17,"bpmn, bonita"
25840512,jQuery cannot capture href in Bonitasoft,https://stackoverflow.com/questions/25840512/jquery-cannot-capture-href-in-bonitasoft,0,1,83,2014-09-14 22:40:06,jquery
21467850,How to use the BonitaSoft REST API from Python/Django,https://stackoverflow.com/questions/21467850/how-to-use-the-bonitasoft-rest-api-from-python-django,5,0,1176,2014-01-30 16:33:55,"python, django, rest"
