id_discussion,title,link,score,answer_count,view_count,creation_date,tags
57498125,Camunda Modeler no advance mode button,https://stackoverflow.com/questions/57498125/camunda-modeler-no-advance-mode-button,0,1,190,2019-08-14 10:51:44,"camunda, camunda-modeler"
56288222,Spring boot camunda unit tests - async before/after,https://stackoverflow.com/questions/56288222/spring-boot-camunda-unit-tests-async-before-after,2,2,1989,2019-05-24 02:59:01,"spring, spring-boot, bpmn, camunda"
40989183,Camunda spring boot starter : create database in schema not working,https://stackoverflow.com/questions/40989183/camunda-spring-boot-starter-create-database-in-schema-not-working,4,4,10567,2016-12-06 01:33:18,"business-process-management, camunda"
39640993,Camunda : get active tasks,https://stackoverflow.com/questions/39640993/camunda-get-active-tasks,2,2,10204,2016-09-22 08:52:11,"java, bpmn, business-process-management, camunda"
56382788,How to update Camunda DMN table at runtime?,https://stackoverflow.com/questions/56382788/how-to-update-camunda-dmn-table-at-runtime,1,1,1161,2019-05-30 12:17:10,camunda
52438908,How to test BPMN with execution listener in a Camunda Spring Boot application?,https://stackoverflow.com/questions/52438908/how-to-test-bpmn-with-execution-listener-in-a-camunda-spring-boot-application,4,0,1217,2018-09-21 02:42:30,"spring-boot, junit4, bpmn, camunda"
33794920,How do I deploy BPMN process to process engine with Camunda Spring Boot,https://stackoverflow.com/questions/33794920/how-do-i-deploy-bpmn-process-to-process-engine-with-camunda-spring-boot,4,1,12345,2015-11-18 22:48:25,"spring-boot, bpmn, camunda"
50179172,Camunda set Execution Variable,https://stackoverflow.com/questions/50179172/camunda-set-execution-variable,1,2,1603,2018-05-04 11:11:42,"camunda, camunda-modeler"
45820618,Camunda springboot project not deploying on Camunda-ee tomcat server,https://stackoverflow.com/questions/45820618/camunda-springboot-project-not-deploying-on-camunda-ee-tomcat-server,3,2,2893,2017-08-22 09:36:59,"spring, tomcat, spring-boot, camunda"
65122814,Unable to access camunda cockpit page,https://stackoverflow.com/questions/65122814/unable-to-access-camunda-cockpit-page,3,2,1022,2020-12-03 04:06:28,"java, spring-boot, camunda"
61380270,"in Camunda, how can I differentiate a process Instance that terminated at ErrorEnd Event versus EndEvent?",https://stackoverflow.com/questions/61380270/in-camunda-how-can-i-differentiate-a-process-instance-that-terminated-at-errore,0,2,531,2020-04-23 00:56:37,camunda
61060994,Is there any way to customize rest api of camunda?,https://stackoverflow.com/questions/61060994/is-there-any-way-to-customize-rest-api-of-camunda,3,3,1305,2020-04-06 08:30:13,camunda
38328208,How to retrieve process variable in Camunda-bpm?,https://stackoverflow.com/questions/38328208/how-to-retrieve-process-variable-in-camunda-bpm,1,2,6562,2016-07-12 06:54:50,"java, camunda, bpmn.io"
65835716,Camunda : How to locate the step in my workflow that provoke OptimisticLockingException,https://stackoverflow.com/questions/65835716/camunda-how-to-locate-the-step-in-my-workflow-that-provoke-optimisticlockingex,1,1,2240,2021-01-21 16:05:59,"camunda, camunda-modeler"
57973114,Is it possible to make Camunda Webapps (Spring-boot stand alone) update .bpmn through Tasklist via DB or Rest,https://stackoverflow.com/questions/57973114/is-it-possible-to-make-camunda-webapps-spring-boot-stand-alone-update-bpmn-th,1,1,215,2019-09-17 06:17:21,"java, spring, spring-boot, camunda"
24703636,Camunda set Assignee to Owner,https://stackoverflow.com/questions/24703636/camunda-set-assignee-to-owner,1,3,2736,2014-07-11 12:49:04,"owner, camunda"
53634916,Java - Camunda BPMN model API: how to save valid xml?,https://stackoverflow.com/questions/53634916/java-camunda-bpmn-model-api-how-to-save-valid-xml,4,2,3271,2018-12-05 09:49:40,"java, xml, bpmn, camunda, camunda-modeler"
28604961,set up camunda rest api,https://stackoverflow.com/questions/28604961/set-up-camunda-rest-api,3,2,10215,2015-02-19 06:16:32,"rest, tomcat, camunda"
27633362,Workflow handling on Camunda engine restart,https://stackoverflow.com/questions/27633362/workflow-handling-on-camunda-engine-restart,1,1,352,2014-12-24 02:41:16,camunda
44992296,Modelling multiple instances of camunda workflows,https://stackoverflow.com/questions/44992296/modelling-multiple-instances-of-camunda-workflows,1,1,1107,2017-07-08 20:58:33,"bpmn, camunda"
58316387,Adding new Object in Spin Object Camunda,https://stackoverflow.com/questions/58316387/adding-new-object-in-spin-object-camunda,1,2,1192,2019-10-10 01:05:01,"java, bpmn, camunda"
41021026,Camunda BPM execution and variable scope misunderstanding,https://stackoverflow.com/questions/41021026/camunda-bpm-execution-and-variable-scope-misunderstanding,8,1,11668,2016-12-07 10:12:52,"java, business-process-management, camunda"
56335118,how to integrate Camunda workflow engine with jhipster generated application?,https://stackoverflow.com/questions/56335118/how-to-integrate-camunda-workflow-engine-with-jhipster-generated-application,0,1,845,2019-05-27 23:43:13,jhipster
33303773,Squence generator for camunda,https://stackoverflow.com/questions/33303773/squence-generator-for-camunda,0,1,365,2015-10-23 08:38:43,camunda
50771870,pass json in process variables in camunda process,https://stackoverflow.com/questions/50771870/pass-json-in-process-variables-in-camunda-process,5,2,11159,2018-06-09 02:18:51,"javascript, java, json, camunda, camunda-modeler"
51669610,How to use ProcessEngineRule in a Junit test for Camunda Spring Boot application?,https://stackoverflow.com/questions/51669610/how-to-use-processenginerule-in-a-junit-test-for-camunda-spring-boot-application,5,5,6268,2018-08-03 04:34:14,"spring-boot, junit4, camunda"
33367061,How can I configure the in-memory Camunda database to accept longer string process variables?,https://stackoverflow.com/questions/33367061/how-can-i-configure-the-in-memory-camunda-database-to-accept-longer-string-proce,4,3,2911,2015-10-27 06:41:34,"h2, camunda"
35461715,Error using embedded forms with Camunda Spring Boot,https://stackoverflow.com/questions/35461715/error-using-embedded-forms-with-camunda-spring-boot,1,2,3927,2016-02-17 11:00:17,"spring-boot, camunda"
