id_discussion,title,link,score,answer_count,view_count,creation_date,tags
64037121,How to programmatically export 3D mesh as USDZ using ModelIO?,https://stackoverflow.com/questions/64037121/how-to-programmatically-export-3d-mesh-as-usdz-using-modelio,0,2,1261,2020-09-23 17:27:30,"swift, augmented-reality, scenekit, realitykit, usdz"
65544036,ModelIO: change material of MDLAsset / MDLMesh / MDLSubmesh,https://stackoverflow.com/questions/65544036/modelio-change-material-of-mdlasset-mdlmesh-mdlsubmesh,2,0,710,2021-01-02 15:59:47,"ios, swift, arkit, realitykit, apple-model-io"
64076779,Modelio 4.0 Installation on Mac OS,https://stackoverflow.com/questions/64076779/modelio-4-0-installation-on-mac-os,0,1,587,2020-09-26 05:53:31,"macos, uml, diagram, class-diagram, modelio"
59539225,Is ModelIO/MDLAsset myopic?,https://stackoverflow.com/questions/59539225/is-modelio-mdlasset-myopic,0,1,61,2019-12-30 22:25:54,"swift, metalkit, modelio"
57874687,Can&#39;t load texture of USDZ file via script using ModelIO library on Xcode with swift,https://stackoverflow.com/questions/57874687/cant-load-texture-of-usdz-file-via-script-using-modelio-library-on-xcode-with-s,0,1,635,2019-09-10 11:15:49,"swift, xcode, usdz, modelio"
56313238,Modelio class diagram compartments,https://stackoverflow.com/questions/56313238/modelio-class-diagram-compartments,1,1,402,2019-05-26 06:52:59,"java, uml, class-diagram, modelio"
51495020,How do I add Lists in Modelio class diagram?,https://stackoverflow.com/questions/51495020/how-do-i-add-lists-in-modelio-class-diagram,1,1,3078,2018-07-24 04:22:14,"oop, uml, project, modelio"
50634145,"jHipster UML, Invalid Type Exception with Modelio",https://stackoverflow.com/questions/50634145/jhipster-uml-invalid-type-exception-with-modelio,0,1,96,2018-05-31 18:25:24,"uml, jhipster, modelio"
49207703,Export StarUML Project to Modelio,https://stackoverflow.com/questions/49207703/export-staruml-project-to-modelio,1,0,303,2018-03-10 04:52:56,"export, uml, project, staruml, modelio"
48179571,Mixed topology (quad/tri) with ModelIO,https://stackoverflow.com/questions/48179571/mixed-topology-quad-tri-with-modelio,3,1,375,2018-01-09 21:46:38,"ios, 3d, scenekit, wavefront"
42995408,Issue with SceneKit/ModelIO position,https://stackoverflow.com/questions/42995408/issue-with-scenekit-modelio-position,0,1,81,2017-03-24 04:11:15,scenekit
41461207,"Modelio and Overture, does it work separately?",https://stackoverflow.com/questions/41461207/modelio-and-overture-does-it-work-separately,0,2,125,2017-01-04 05:11:20,"modelio, vdm++"
34562300,ModelIO Framework Not Working,https://stackoverflow.com/questions/34562300/modelio-framework-not-working,4,1,1086,2016-01-01 22:27:53,"swift, .obj, metal, metalkit"
35721142,How to add labels to flow lines in modelio?,https://stackoverflow.com/questions/35721142/how-to-add-labels-to-flow-lines-in-modelio,0,1,962,2016-03-01 06:01:27,modelio
